Start Date;1/01/1976;;;
End Date;;;;
;;;;
;B500 Index;;LBUSTRUU Index;
;#N/A Connection;#N/A Connection;#N/A Connection;#N/A Connection
Dates;PX_LAST;INDX_MARKET_CAP;PX_LAST;INDX_MARKET_CAP
30/03/2007;500.84;12772158.91;1311.13;9382751.09
30/04/2007;521.93;13300122.72;1318.2;9491304.31
31/05/2007;539.49;13746076.47;1308.21;9397963.11
29/06/2007;530.31;13457592.91;1304.34;9397719.35
31/07/2007;514.78;13066056.48;1315.22;9499391.45
31/08/2007;521.64;13234353.27;1331.34;9621292.69
28/09/2007;541.17;13662698.62;1341.44;9754486.99
31/10/2007;550.17;13807229.45;1353.49;9902049.24
30/11/2007;526.86;13183424.2;1377.83;10031640.77
31/12/2007;523.06;12989739.72;1381.7;10108998
31/01/2008;490.27;12173909.62;1404.91;10372564.32
29/02/2008;473.91;11776366.5;1406.86;10401881.59
31/03/2008;470.66;11742802.48;1411.66;10495767.71
30/04/2008;494.03;12344754.79;1408.71;10590506.96
30/05/2008;500.84;12521389.33;1398.38;10648033.26
30/06/2008;459.3;11459176.36;1397.26;10746768.33
31/07/2008;453.39;11289744.97;1396.11;10791544.7
29/08/2008;458.38;11402466.62;1409.36;10869729.85
30/09/2008;416.11;10270222.06;1390.43;10748478.39
31/10/2008;345.29;8506866.98;1357.61;10544702.62
28/11/2008;319.31;7795673;1401.8;10910614.74
31/12/2008;322.14;7868850.08;1454.1;11430264.42
30/01/2009;295.56;7211885.39;1441.27;11448304.34
27/02/2009;263.91;6434213.3;1435.83;11466836.26
31/03/2009;286.46;7056934.17;1455.79;11769390.95
30/04/2009;312.22;7676108.3;1462.75;11985155.3
29/05/2009;328.46;8075438.99;1473.36;12133955.18
30/06/2009;328.64;8168863.12;1481.74;12325603
31/07/2009;352.44;8753890.15;1505.64;12673340.47
31/08/2009;363.21;9022180;1521.23;12897604.66
30/09/2009;376.42;9456008.97;1537.21;13187383.95
30/10/2009;368.96;9229996.36;1544.8;13414397.07
30/11/2009;390.28;9729940.17;1564.8;13703395.74
31/12/2009;397.25;9965378.51;1540.34;13577142.18
29/01/2010;383.09;9604399.96;1563.87;13908039.37
26/02/2010;393.55;9827761.65;1569.71;14071341.83
31/03/2010;415.87;10590282.17;1567.78;14086861.49
30/04/2010;421.63;10736876.58;1584.1;14296064.67
31/05/2010;386.84;9851906.84;1597.43;14479290.28
30/06/2010;365.99;9354767.8;1622.48;14765752.98
30/07/2010;391.02;9981478.69;1639.8;15024656.19
31/08/2010;372.71;9513891.94;1660.89;15295439.45
30/09/2010;405.57;10383099.51;1662.66;15404380.71
29/10/2010;421.06;10778756.71;1668.58;15530785.88
30/11/2010;420.53;10766456.87;1658.99;15449027.54
31/12/2010;447.69;11484120;1641.1;15133856.18
31/01/2011;457.93;11745804.48;1643.01;15142869.55
28/02/2011;472.26;12137266.57;1647.12;15135776
31/03/2011;471.81;12169717.09;1648.03;15093055.76
29/04/2011;485.37;12488068.63;1668.95;15202933.93
31/05/2011;479.2;12322094.98;1690.73;15392604.42
30/06/2011;470.38;12040587.47;1685.78;15216983.11
29/07/2011;460.77;11794121.34;1712.53;15420294.07
31/08/2011;434.57;11112065.95;1737.55;15643101.75
30/09/2011;403.28;10323338.44;1750.19;15797875.52
31/10/2011;446.45;11421984.68;1752.07;15819889.63
30/11/2011;443.89;11357547.31;1750.55;15791771.82
30/12/2011;447.27;11373018.01;1769.79;15925527.93
31/01/2012;467.97;11890847.71;1785.33;16136898.18
29/02/2012;487.39;12383854.44;1784.92;16206381.83
30/03/2012;502.71;12737902.57;1775.14;16113145.74
30/04/2012;499.24;12654949.64;1794.82;16304647.64
31/05/2012;467.8;11846025.17;1811.06;16490786.98
29/06/2012;485.63;12299403.68;1811.77;16523569.24
31/07/2012;491.69;12437400.56;1836.76;16760300.76
31/08/2012;501.68;12689631.97;1837.96;16755032.42
28/09/2012;513.71;13006998.53;1840.49;16815236.38
31/10/2012;503.36;12743101.5;1844.11;16911084.55
30/11/2012;504.78;12776290.43;1847.02;16948413.97
31/12/2012;508.37;12860084.55;1844.39;16972666.74
31/01/2013;534.25;13514763.23;1831.49;16902968.18
28/02/2013;539.59;13650535.44;1840.67;16951646.25
29/03/2013;559.13;14129653.55;1842.14;16968823.68
30/04/2013;569.67;14395979.32;1860.78;17146906.3
31/05/2013;580.2;14667579.52;1827.58;16875875.12
28/06/2013;571.54;14436844.87;1799.31;16585274.25
31/07/2013;600.6;15152646.8;1801.77;16606819.61
30/08/2013;582.74;14701904.57;1792.56;16488832.52
30/09/2013;600.74;15102108.24;1809.53;16719529.41
31/10/2013;626.92;15736341.27;1824.16;16926947.75
29/11/2013;643.96;16160680.97;1817.33;16825288.76
31/12/2013;660.05;16517425.1;1807.06;16696294.93
31/01/2014;637.34;15948578.16;1833.76;16953733.73
28/02/2014;665.27;16635481.94;1843.51;16980855.34
31/03/2014;669.09;16758851.63;1840.37;16798729.85
30/04/2014;672.4;16841758.14;1855.9;16908408.86
30/05/2014;686.99;17192965.65;1877.03;17082972.03
30/06/2014;700.35;17489001.28;1878;17197180.33
31/07/2014;690.05;17225822.1;1873.29;17143746.62
29/08/2014;716.07;17878166.28;1893.97;17302554.79
30/09/2014;704.57;17520290.91;1881.11;17202060.74
31/10/2014;720.52;17914458.46;1899.6;17402333.41
28/11/2014;738.48;18362639.07;1913.08;17552915.41
31/12/2014;734.89;18235102.62;1914.87;17608807.47
30/01/2015;712.52;17668536.61;1955.02;18046487.91
27/02/2015;751.41;18631918.4;1936.64;17937947.17
31/03/2015;738.94;18194696.24;1945.63;18052826.34
30/04/2015;744.79;18327355.9;1938.65;18020933.66
29/05/2015;752.81;18505001.64;1933.98;18055123.25
30/06/2015;737.24;18097508.23;1912.89;17931044.46
31/07/2015;751.82;18452545.18;1926.19;18113850.25
31/08/2015;704.7;17284577.99;1923.42;18100366.98
30/09/2015;685.19;16822911.78;1936.43;18183623.13
30/10/2015;741.37;18204248.53;1936.76;18227126.7
30/11/2015;741.56;18190177.47;1931.64;18204826.97
31/12/2015;728.92;17786155.23;1925.4;18134421.39
29/01/2016;690.06;16800185.2;1951.89;18437749.64
29/02/2016;686.7;16710650.83;1965.74;18576810.12
31/03/2016;731.77;17807159.86;1983.77;18774377.91
29/04/2016;734.05;17846694.79;1991.39;18882375.84
31/05/2016;745.4;18058913.88;1991.9;18940148.54
30/06/2016;746.27;18013936.97;2027.69;19315199.38
29/07/2016;773.5;18659158.57;2040.51;19539085.85
31/08/2016;772.55;18636228.48;2038.18;19568864.02
30/09/2016;772.34;18648485.06;2036.98;19578702.03
31/10/2016;757.4;18286541.06;2021.4;19487620.67
30/11/2016;782.38;18891027.74;1973.59;19034386.64
30/12/2016;796.33;19123813.24;1976.37;19059682.72
31/01/2017;811.63;19477700.2;1980.25;19264384.85
28/02/2017;841.94;20175788.71;1993.56;19449993.48
31/03/2017;841.62;20158092.05;1992.51;19232939.22
28/04/2017;850.19;20357004.49;2007.89;19389854.9
31/05/2017;860.73;20606336.16;2023.34;19574289
30/06/2017;864.71;20624884.36;2021.31;19576342.48
31/07/2017;881.27;20967417.29;2030.01;19727402.51
31/08/2017;881.88;20967494.81;2048.21;19971746.13
29/09/2017;898.53;21431602.99;2038.46;19954413.45
31/10/2017;918.8;21906139.43;2039.64;20066543.59
30/11/2017;943.86;22499691.09;2037.02;20074098.59
29/12/2017;953.2;22637784.13;2046.37;20198626.39
31/01/2018;1007.41;23936380.59;2022.8;20017266.89
28/02/2018;968.62;23019328.02;2003.63;19825006.43
30/03/2018;942.45;22395448.44;2016.48;20023701.78
30/04/2018;944.86;22468259.99;2001.48;19945970.43
31/05/2018;965.69;22964242.7;2015.76;20081351.77
29/06/2018;970.61;22883976.68;2013.28;20135020.28
31/07/2018;1004.58;23672676.9;2013.76;20196367.63
31/08/2018;1035.2;24399076.42;2026.72;20352913.17
28/09/2018;1039.05;24442611.94;2013.67;20301819.85
31/10/2018;965.85;22724642.16;1997.76;20249448.65
30/11/2018;983.8;23076977.86;2009.68;20405245.02
31/12/2018;894.06;20848468.95;2046.6;20835533.89
31/01/2019;965.43;22519566.36;2068.34;21156232.46
28/02/2019;995.21;23214143.73;2067.14;21182767.88
29/03/2019;1012.54;23470187.07;2106.83;21617721.04
30/04/2019;1052.46;24406572.45;2107.37;21677786.43
31/05/2019;984.73;22837721.65;2144.78;22093557.69
28/06/2019;1051.69;24360275.16;2171.71;22425660.14
31/07/2019;1067.33;24695311.98;2176.49;22541084.61
30/08/2019;1048.37;24227775.59;2232.89;23145424.49
30/09/2019;1064.17;24608724.97;2221;23144356.13
31/10/2019;1086.02;25048254.85;2227.69;23244901.51
29/11/2019;1123.75;25882752.99;2226.55;23179991.71
31/12/2019;1155.15;26602359.32;2225;23185948.88
31/01/2020;1157.94;26591523.15;2267.82;23747416.05
28/02/2020;1062.28;24390344.04;2308.64;24011536.52
31/03/2020;930.68;21375903.42;2295.05;23829362.67
30/04/2020;1050.77;24174044.02;2335.85;23429821.41
29/05/2020;1102.92;25334056.49;2346.72;23684571.94
30/06/2020;1125.58;25863840.62;2361.51;24006981.13
31/07/2020;1189.06;27377569.17;2396.78;24452869.5
31/08/2020;1277.72;29420969.16;2377.43;24417940.82
30/09/2020;1228.66;28303373.08;2376.13;24566096.93
30/10/2020;1194.05;27630829.53;2365.52;24587531.46
30/11/2020;1329.24;30748302.48;2388.73;24931707.7
31/12/2020;1380.24;31946004.01;2392.02;25125823.71
29/01/2021;1367.17;31696793.54;2374.87;25147783.39
26/02/2021;1399.7;32457092.18;2340.58;24945860.17
31/03/2021;1451.23;33651871.61;2311.35;24842083.7
30/04/2021;1528.22;35585402.87;2329.61;25236390.06
31/05/2021;1532.7;35712821.9;2337.22;25548524.51
30/06/2021;1575.41;36858596.69;2353.64;25926698.47
30/07/2021;1611.85;37658054.9;2379.96;26348689.84
31/08/2021;1657.64;38730211.02;2375.43;26421098.76
30/09/2021;1578.77;36991590.13;2354.86;26344003.9
29/10/2021;1689.97;39609527.66;2354.21;26550520.61
30/11/2021;1671.2;39191580.53;2361.18;26744123.01
31/12/2021;1733.93;40661668.28;2355.14;26795972.25
31/01/2022;1634.66;38343985.1;2304.4;26400120.22
28/02/2022;1581.49;37095839.96;2278.69;26238481.88
31/03/2022;1634.62;38282865.22;2215.38;25757235.36
29/04/2022;1483.39;34751019.99;2131.31;24950706.99
31/05/2022;1476.98;34606372.95;2145.05;25160561.76
30/06/2022;1355.41;31695412.09;2111.4;24862778.7
29/07/2022;1479.37;34592119.14;2162.99;25616134.47
31/08/2022;1419.35;33187773;2101.88;24992322.96
30/09/2022;1286.04;30198312.02;2011.06;23970316.29
31/10/2022;1385.94;32495633.95;1985.01;23756461.86
